Subject,Month,AverageScore
Math,1,7.364392
Math,2,7.372115
Math,3,7.335221
Math,4,7.359505
Math,5,7.362097
Math,6,7.373168
Math,7,7.372871
Math,8,7.330604
Math,9,7.377576
Math,10,7.381091
Math,11,7.387762
Math,12,7.326187
Literature,1,6.768574
Literature,2,6.735956
Literature,3,6.741481
Literature,4,6.759531
Literature,5,6.759348
Literature,6,6.750129
Literature,7,6.471931
Literature,8,6.72452
Literature,9,6.744319
Literature,10,6.732059
Literature,11,6.75145
Literature,12,6.721092
History,1,5.4301
History,2,5.38507
History,3,5.376615
History,4,5.344025
History,5,5.40149
History,6,5.365322
History,7,5.36509
History,8,5.383156
History,9,5.444283
History,10,5.384171
History,11,5.391374
History,12,5.329059
Geography,1,6.88436
Geography,2,6.890516
Geography,3,6.866217
Geography,4,6.866287
Geography,5,6.891393
Geography,6,6.849008
Geography,7,6.884413
Geography,8,6.884351
Geography,9,6.870686
Geography,10,6.85661
Geography,11,6.860846
Geography,12,6.833239
Civic,1,8.335891
Civic,2,8.32615
Civic,3,8.302778
Civic,4,8.326488
Civic,5,8.331489
Civic,6,8.338917
Civic,7,8.289784
Civic,8,8.32018
Civic,9,8.31755
Civic,10,8.305888
Civic,11,8.310434
Civic,12,8.305108
Biography,1,5.685156
Biography,2,5.719479
Biography,3,5.658123
Biography,4,5.642634
Biography,5,5.645455
Biography,6,5.667038
Biography,7,5.686732
Biography,8,5.605721
Biography,9,5.622804
Biography,10,5.632434
Biography,11,5.675809
Biography,12,5.631141
Physics,1,6.523865
Physics,2,6.539303
Physics,3,6.578716
Physics,4,6.573876
Physics,5,6.601773
Physics,6,6.562322
Physics,7,6.589435
Physics,8,6.581543
Physics,9,6.618707
Physics,10,6.61754
Physics,11,6.581822
Physics,12,6.580662
Chemistry,1,6.603933
Chemistry,2,6.648846
Chemistry,3,6.566967
Chemistry,4,6.549877
Chemistry,5,6.65614
Chemistry,6,6.610308
Chemistry,7,6.665949
Chemistry,8,6.565811
Chemistry,9,6.620577
Chemistry,10,6.630799
Chemistry,11,6.660851
Chemistry,12,6.601811
English,1,5.893823
English,2,5.889083
English,3,5.89508
English,4,5.933347
English,5,5.8335
English,6,5.839925
English,7,5.846358
English,8,5.794111
English,9,5.827182
English,10,5.838409
English,11,5.813999
English,12,5.832441
